#Dwardin Thanehold Line

1350 = {
	name = Durak
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53268
	1924.11.14 = {birth = yes}
	1973.9.26 = {give_nickname = nick_ironhelm}
	2231.12.17 = {death = yes}
	}
	53270 = {
	name = Gerta
	female = yes
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53262
	1794.11.14 = {birth = yes}
	1840.6.18 = {add_spouse = 53009}
	2173.12.17 = {death = yes}
	}
	53272 = {
	name = Grundi
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 5
	stewardship = 4
	intrigue = 7
	learning = 4
	add_trait = creature_dwarf
	add_trait = indulgent_wastrel
	add_trait = arbitrary
	add_trait = zealous
	add_trait = patient
	add_trait = trusting
	father=53260
	18.12.7 = {birth = yes}
	36.8.12 = {death = yes}
	}
	53273 = {
	name = Mordin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 7
	intrigue = 6
	learning = 7
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = gregarious
	add_trait = charitable
	add_trait = just
	add_trait = drunkard
	father=53272
	35.3.20 = {birth = yes}
	53.2.1 = {death = yes}
	}
	53274 = {
	name = Kazrik
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 8
	stewardship = 8
	intrigue = 4
	learning = 8
	add_trait = creature_dwarf
	add_trait = grey_eminence
	add_trait = honest
	add_trait = cynical
	add_trait = just
	add_trait = ambitious
	add_trait = temperate
	father=53273
	52.8.27 = {birth = yes}
	70.8.27 = {death = yes}
	}
	53275 = {
	name = Gorim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 6
	intrigue = 4
	learning = 6
	add_trait = creature_dwarf
	add_trait = charismatic_negotiator
	add_trait = wroth
	add_trait = slothful
	add_trait = cruel
	add_trait = gluttonous
	father=53274
	69.12.7 = {birth = yes}
	87.9.18 = {death = yes}
	}
	53276 = {
	name = Hugnir
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 6
	stewardship = 5
	intrigue = 8
	learning = 6
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = shy
	add_trait = paranoid
	add_trait = charitable
	father=53275
	86.4.22 = {birth = yes}
	105.2.16 = {death = yes}
	}
	53277 = {
	name = Lunn
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 4
	intrigue = 8
	learning = 6
	add_trait = creature_dwarf
	add_trait = scholarly_theologian
	add_trait = lustful
	add_trait = temperate
	add_trait = zealous
	father=53276
	103.1.10 = {birth = yes}
	122.1.13 = {death = yes}
	}
	53278 = {
	name = Belegar
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 8
	stewardship = 7
	intrigue = 8
	learning = 4
	add_trait = creature_dwarf
	add_trait = midas_touched
	add_trait = craven
	add_trait = zealous
	add_trait = arbitrary
	father=53277
	121.3.1 = {birth = yes}
	139.12.9 = {death = yes}
	}
	53279 = {
	name = Dimzad
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 8
	stewardship = 6
	intrigue = 7
	learning = 7
	add_trait = creature_dwarf
	add_trait = elusive_shadow
	add_trait = temperate
	add_trait = zealous
	add_trait = shy
	add_trait = ambitious
	add_trait = wounded
	father=53278
	137.8.26 = {birth = yes}
	157.8.19 = {death = yes}
	}
	53280 = {
	name = Dorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 5
	stewardship = 5
	intrigue = 4
	learning = 6
	add_trait = creature_dwarf
	add_trait = intricate_webweaver
	add_trait = scholar
	add_trait = slothful
	add_trait = craven
	add_trait = wroth
	add_trait = cruel
	add_trait = lustful
	father=53265
	155.9.17 = {birth = yes}
	171.1.8 = {death = {death_reason = death_battle}}
	}
	53281 = {
	name = Krudd
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 5
	stewardship = 5
	intrigue = 4
	learning = 6
	add_trait = creature_dwarf
	add_trait = intricate_webweaver
	add_trait = scholar
	add_trait = slothful
	add_trait = craven
	add_trait = wroth
	add_trait = cruel
	add_trait = lustful
	father=53279
	155.9.17 = {birth = yes}
	173.1.8 = {death = yes}
	}
	
	53282 = {
	name = Bronn
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 4
	stewardship = 5
	intrigue = 7
	learning = 6
	add_trait = creature_dwarf
	add_trait = indulgent_wastrel
	add_trait = shy
	add_trait = zealous
	add_trait = temperate
	add_trait = honest
	add_trait = ambitious
	add_trait = wroth
	father=53281
	172.9.17 = {birth = yes}
	190.1.8 = {death = yes}
	}
	
	53283 = {
	name = Bradni
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 8
	intrigue = 8
	learning = 7
	add_trait = creature_dwarf
	add_trait = grey_eminence
	add_trait = content
	add_trait = lustful
	add_trait = cynical
	add_trait = diligent
	father=53282
	189.5.1 = {birth = yes}
	207.10.30 = {death = yes}
	}
	
	53284 = {
	name = Storri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 8
	stewardship = 6
	intrigue = 6
	learning = 5
	add_trait = creature_dwarf
	add_trait = thrifty_clerk
	add_trait = greedy
	add_trait = lustful
	add_trait = patient
	add_trait = gregarious
	add_trait = paranoid
	add_trait = ugly
	father=53283
	206.4.4 = {birth = yes}
	224.1.25 = {death = yes}
	}
	
	53285 = {
	name = Norgrim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 6
	intrigue = 6
	learning = 4
	add_trait = creature_dwarf
	add_trait = midas_touched
	add_trait = temperate
	add_trait = cruel
	add_trait = chaste
	add_trait = honest
	father=53284
	223.7.21 = {birth = yes}
	241.9.17 = {death = yes}
	}
	
	53286 = {
	name = Borgin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 4
	intrigue = 6
	learning = 8
	add_trait = creature_dwarf
	add_trait = indulgent_wastrel
	add_trait = temperate
	add_trait = craven
	add_trait = paranoid
	add_trait = cynical
	father=53285
	240.11.23 = {birth = yes}
	258.11.10 = {death = yes}
	}
	
	53287 = {
	name = Dimrond
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 5
	stewardship = 6
	intrigue = 6
	learning = 6
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = slothful
	add_trait = greedy
	father=53286
	257.2.16 = {birth = yes}
	275.7.17 = {death = yes}
	}
	
	53288 = {
	name = Kargun
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 8
	intrigue = 4
	learning = 7
	add_trait = creature_dwarf
	add_trait = elusive_shadow
	add_trait = paranoid
	add_trait = cruel
	add_trait = temperate
	father=53287
	274.10.2 = {birth = yes}
	292.8.20 = {death = yes}
	}
	
	53289 = {
	name = Gorim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 5
	stewardship = 7
	intrigue = 5
	learning = 8
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = proud
	add_trait = content
	add_trait = gregarious
	add_trait = cynical
	add_trait = drunkard
	father=53288
	291.1.20 = {birth = yes}
	309.9.7 = {death = yes}
	}
	
	53290 = {
	name = Snorri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 7
	intrigue = 5
	learning = 7
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = celibate
	add_trait = cruel
	add_trait = gluttonous
	add_trait = diligent
	add_trait = zealous
	father=53289
	308.1.14 = {birth = yes}
	326.7.3 = {death = yes}
	}
	
	53291 = {
	name = Kragg
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 6
	stewardship = 4
	intrigue = 8
	learning = 8
	add_trait = creature_dwarf
	add_trait = martial_cleric
	add_trait = wroth
	add_trait = zealous
	add_trait = greedy
	add_trait = cruel
	add_trait = honest
	father=53290
	325.12.15 = {birth = yes}
	343.10.28 = {death = yes}
	}
	
	53292 = {
	name = Thrund
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 4
	stewardship = 5
	intrigue = 7
	learning = 5
	add_trait = creature_dwarf
	add_trait = charismatic_negotiator
	add_trait = gregarious
	add_trait = slothful
	add_trait = zealous
	add_trait = just
	father=53291
	342.4.14 = {birth = yes}
	371.10.18 = {death = yes}
	}
	
	53293 = {
	name = Dorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 8
	stewardship = 7
	intrigue = 7
	learning = 4
	add_trait = creature_dwarf
	add_trait = charismatic_negotiator
	add_trait = shy
	add_trait = ambitious
	add_trait = gluttonous
	add_trait = envious
	father=53292
	361.7.6 = {birth = yes}
	432.8.26 = {death = yes}
	}
	
	53294 = {
	name = Morgrim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 5
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = celibate
	add_trait = temperate
	add_trait = patient
	add_trait = trusting
	add_trait = deceitful
	add_trait = content
	father=53293
	399.3.10 = {birth = yes}
	624.2.4 = {death = yes}
	}
	
	53295 = {
	name = Thorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 5
	stewardship = 7
	intrigue = 4
	learning = 4
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = temperate
	add_trait = just
	add_trait = diligent
	father=53294
	523.1.18 = {birth = yes}
	976.11.5 = {death = yes}
	}
	
	53296 = {
	name = Vragni
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 8
	stewardship = 8
	intrigue = 4
	learning = 7
	add_trait = creature_dwarf
	add_trait = charismatic_negotiator
	add_trait = zealous
	add_trait = greedy
	add_trait = kind
	add_trait = proud
	add_trait = content
	father=53295
	711.7.15 = {birth = yes}
	1115.2.13 = {death = yes}
	}
	
	53297 = {
	name = Yadri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 6
	stewardship = 8
	intrigue = 4
	learning = 7
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = hedonist
	add_trait = trusting
	add_trait = diligent
	add_trait = shy
	add_trait = content
	add_trait = deceitful
	father=53296
	846.11.27 = {birth = yes}
	1249.1.1 = {death = yes}
	}
	
	53298 = {
	name = Rungni
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 8
	stewardship = 7
	intrigue = 8
	learning = 7
	add_trait = creature_dwarf
	add_trait = elusive_shadow
	add_trait = impaler
	add_trait = brave
	add_trait = slothful
	add_trait = cruel
	father=53297
	1035.7.17 = {birth = yes}
	1370.6.29 = {death = yes}
	}
	
	53299 = {
	name = Duregar
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 6
	stewardship = 6
	intrigue = 5
	learning = 8
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = just
	add_trait = envious
	add_trait = patient
	father=53298
	1117.8.17 = {birth = yes}
	1473.1.16 = {death = yes}
	}
	
	#Line of Merc Gunnisons
	
	53500 = {
	name = Borgin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 8
	stewardship = 4
	intrigue = 6
	learning = 7
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = hunter
	add_trait = honest
	add_trait = brave
	add_trait = content
	add_trait = diligent
	father=53276
	104.7.8 = {birth = yes}
	122.4.28 = {death = {death_reason = death_battle}}
	}
	
	53501 = {
	name = Kadri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 8
	intrigue = 6
	learning = 5
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = trusting
	add_trait = shy
	add_trait = cruel
	father=53500
	121.12.27 = {birth = yes}
	139.11.12 = {death = {death_reason = death_battle}}
	}
	
	53502 = {
	name = Rogni
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 6
	intrigue = 4
	learning = 6
	add_trait = creature_dwarf
	add_trait = skilled_tactician
	add_trait = wroth
	add_trait = just
	father=53501
	138.8.19 = {birth = yes}
	156.6.13 = {death = {death_reason = death_battle}}
	}
	
	53503 = {
	name = Gotrek
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 4
	stewardship = 8
	intrigue = 5
	learning = 6
	add_trait = creature_dwarf
	add_trait = midas_touched
	add_trait = greedy
	add_trait = deceitful
	add_trait = just
	add_trait = envious
	father=53502
	155.12.25 = {birth = yes}
	173.9.25 = {death = yes}
	}
	
	53504 = {
	name = Hargin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 6
	stewardship = 6
	intrigue = 4
	learning = 5
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = deceitful
	add_trait = patient
	add_trait = shy
	add_trait = humble
	add_trait = cruel
	father=53503
	172.11.18 = {birth = yes}
	190.5.14 = {death = {death_reason = death_battle}}
	}
	
	53505 = {
	name = Norgrim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 5
	stewardship = 6
	intrigue = 4
	learning = 5
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = cruel
	add_trait = gluttonous
	add_trait = craven
	add_trait = envious
	add_trait = charitable
	add_trait = possessed
	father=53504
	189.10.2 = {birth = yes}
	207.8.14 = {death = yes}
	}
	
	53506 = {
	name = Gorim
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 4
	intrigue = 6
	learning = 7
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = trusting
	add_trait = charitable
	add_trait = craven
	add_trait = slothful
	add_trait = cruel
	father=53505
	206.11.11 = {birth = yes}
	224.9.24 = {death = yes}
	}
	
	53507 = {
	name = Dwinbar
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 4
	stewardship = 5
	intrigue = 7
	learning = 5
	add_trait = creature_dwarf
	add_trait = mastermind_theologian
	add_trait = proud
	add_trait = charitable
	add_trait = temperate
	add_trait = brave
	father=53506
	223.1.1 = {birth = yes}
	241.11.22 = {death = {death_reason = death_battle}}
	}
	
	53508 = {
	name = Snorri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 8
	intrigue = 7
	learning = 4
	add_trait = creature_dwarf
	add_trait = martial_cleric
	add_trait = diligent
	add_trait = gregarious
	add_trait = cruel
	add_trait = wroth
	add_trait = content
	father=53507
	240.4.17 = {birth = yes}
	258.1.11 = {death = {death_reason = death_battle}}
	}
	
	53509 = {
	name = Thorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 5
	stewardship = 5
	intrigue = 6
	learning = 4
	add_trait = creature_dwarf
	add_trait = midas_touched
	add_trait = ambitious
	add_trait = kind
	add_trait = chaste
	add_trait = stressed
	father=53508
	257.8.18 = {birth = yes}
	275.2.22 = {death = yes}
	}
	
	53510 = {
	name = Fenni
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 6
	intrigue = 7
	learning = 6
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = gardener
	add_trait = chaste
	add_trait = wroth
	add_trait = craven
	father=53509
	274.3.27 = {birth = yes}
	292.10.4 = {death = yes}
	}
	
	53511 = {
	name = Brondi
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 4
	stewardship = 7
	intrigue = 8
	learning = 7
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = temperate
	add_trait = charitable
	add_trait = lustful
	add_trait = zealous
	add_trait = trusting
	add_trait = shy
	add_trait = drunkard
	father=53510
	291.3.17 = {birth = yes}
	309.1.31 = {death = yes}
	}
	
	53512 = {
	name = Garil
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 5
	intrigue = 5
	learning = 6
	add_trait = creature_dwarf
	add_trait = intricate_webweaver
	add_trait = mystic
	add_trait = gluttonous
	add_trait = arbitrary
	add_trait = wroth
	add_trait = envious
	father=53511
	308.2.13 = {birth = yes}
	326.8.3 = {death = yes}
	}
	
	53513 = {
	name = Dimzad
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 5
	stewardship = 6
	intrigue = 4
	learning = 8
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = gluttonous
	add_trait = greedy
	add_trait = humble
	add_trait = lustful
	father=53512
	325.5.10 = {birth = yes}
	343.10.1 = {death = {death_reason = death_battle}}
	}
	
	53514 = {
	name = Thorbal
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 5
	stewardship = 7
	intrigue = 6
	learning = 5
	add_trait = creature_dwarf
	add_trait = flamboyant_schemer
	add_trait = lustful
	add_trait = shy
	add_trait = envious
	father=53513
	342.9.15 = {birth = yes}
	444.1.10 = {death = {death_reason = death_battle}}
	}
	
	53515 = {
	name = Baragor
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 6
	stewardship = 6
	intrigue = 8
	learning = 5
	add_trait = creature_dwarf
	add_trait = tough_soldier
	add_trait = craven
	add_trait = trusting
	add_trait = lustful
	add_trait = cruel
	father=53514
	369.6.18 = {birth = yes}
	573.9.22 = {death = yes}
	}
	
	53516 = {
	name = Enlag
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 6
	intrigue = 8
	learning = 4
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = envious
	add_trait = slothful
	add_trait = arbitrary
	add_trait = lunatic_1
	father=53515
	432.1.25 = {
		birth = yes
		effect = {
			set_variable = { which = lunatic_counter value = 5 }
		}
	}
	684.8.16 = {death = {death_reason = death_battle}}
	}
	
	53517 = {
	name = Gunn
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 7
	intrigue = 4
	learning = 7
	add_trait = creature_dwarf
	add_trait = intricate_webweaver
	add_trait = cruel
	add_trait = ambitious
	add_trait = just
	add_trait = charitable
	father=53516
	483.9.2 = {birth = yes}
	729.6.13 = {death = yes}
	}
	
	53518 = {
	name = Borm
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 4
	stewardship = 5
	intrigue = 7
	learning = 5
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = gardener
	add_trait = brave
	add_trait = gregarious
	add_trait = ambitious
	add_trait = gluttonous
	add_trait = wounded
