#Ekrund Royal Clan
1299 = {
	name = Rindrak
	add_trait = cynical
	add_trait = patient
	add_trait = depressed
	father=1304
	1511.11.24 = {birth = yes}
	1843.11.1 = {death = yes}
	}
	
	1306 = {
	name = Yorri
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=1305
	1758.2.3 = {birth = yes}
	1954.8.24 = {death = yes}
	}
	
	1307 = {
	name = Bronn
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=1306
	1815.2.3 = {birth = yes}
	2107.8.24 = {death = yes}
	}
	
	1308 = {
	name = Orek
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=1306
	1836.2.3 = {birth = yes}
	2129.8.24 = {death = yes}
	}
	
	1309 = {
	name = Kurgan
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 8
	stewardship = 11
	intrigue = 8
	learning = 9
	add_trait = creature_dwarf
	add_trait = intricate_webweaver
	add_trait = lisp
	father=1306
	1798.1.3 = {birth = yes}
	2065.4.20 = {death = yes}
	}
	
	1310 = {
	name = Logan
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=1309
	1878.2.3 = {birth = yes}
	2159.8.24 = {death = yes}
	}
	
	1311 = {
	name = Berta
	female = yes
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	father=1309
	1888.2.3 = {birth = yes}
	2232.8.24 = {death = yes}
	}

#Clan Helhein

53480 = {
	name = Rorek
	dynasty = 75413
	father=53481
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	1880.7.23 = {birth = yes}
	2188.9.17 = {death = yes}
	}
	
	53481 = {
	name = Toruk
	dynasty = 75413
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	1300.6.18 = {birth = yes}
	1900.10.12 = {death = yes}
	}

#Clan Angrund King of Karak Eight Peaks line

53300 = {
	name = Lunn #Ironhammer, Last True King of Eight Peaks
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	1.3.22 = {birth = yes}
	26.7.8 = {
		give_nickname = nick_ironhammer
		create_bloodline = {
			type = lunn
			has_dlc = "Holy Fury"
		}
	}
	36.7.8 = { death = { death_reason = death_battle } }
	}
	
	53301 = {
	name = Ranulf
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53321
	1724.11.14 = {birth = yes}
	2007.12.17 = {death = yes}
	}
	
	53302 = {
	name = Dimrond
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53301
	1843.10.7 = {
	birth = yes
			#Rightful ruler of Karak Eight Peaks
			add_claim = k_azril_ankor
			add_claim = d_vala_azril_ungol
			add_claim = c_azril_ungol
	}
	2007.1.1={effect={
	add_artifact = hammer_angrund
	add_artifact = defiance_shield_angrund
	add_artifact = dawi_artifact_gromril_armour
	}}
	2095.6.3 = {death = yes}
	}
	
	53303 = {
	name = Gundrik
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53301
	1858.4.27 = {birth = yes}
	2124.8.13 = {death = yes}
	}
	
	53304 = {
	name = Krudd
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 6
	stewardship = 6
	intrigue = 6
	learning = 4
	add_trait = misguided_warrior
	add_trait = poet
	add_trait = content
	add_trait = kind
	add_trait = proud
	add_trait = charitable
	add_trait = brave
	father=53300
	35.9.26 = {birth = yes}
	53.4.14 = {death = yes}
	
	}
	
	53305 = {
	name = Kadri
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 7
	intrigue = 4
	learning = 7
	add_trait = charismatic_negotiator
	add_trait = proud
	add_trait = wroth
	add_trait = cruel
	add_trait = gluttonous
	add_trait = honest
	add_trait = just
	father=53304
	52.9.26 = {birth = yes}
	70.4.14 = {death = yes}
	}
	
	53306 = {
	name = Fenni
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 6
	intrigue = 5
	learning = 7
	add_trait = flamboyant_schemer
	add_trait = craven
	add_trait = wroth
	father=53305
	69.9.26 = {birth = yes}
	87.4.14 = {death = yes}
	}
	
	53307 = {
	name = Gorn
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 4
	diplomacy = 8
	stewardship = 7
	intrigue = 7
	learning = 4
	add_trait = detached_priest
	add_trait = cruel
	add_trait = temperate
	add_trait = gregarious
	add_trait = cynical
	father=53306
	86.9.26 = {birth = yes}
	104.4.14 = {death = yes}
	}
	
	53308 = {
	name = Kragg
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 8
	intrigue = 4
	learning = 4
	add_trait = mastermind_theologian
	add_trait = lustful
	add_trait = cruel
	add_trait = trusting
	add_trait = cynical
	add_trait = patient
	add_trait = wounded
	father=53307
	103.9.26 = {birth = yes}
	141.4.14 = {death = yes}
	}
	
	53309 = {
	name = Grunni
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 8
	stewardship = 7
	intrigue = 7
	learning = 5
	add_trait = intricate_webweaver
	add_trait = gregarious
	add_trait = charitable
	add_trait = chaste
	add_trait = arbitrary
	father=53308
	124.2.26 = {birth = yes}
	231.3.15 = {death = yes}
	}
	
	53310 = {
	name = Largs
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 4
	stewardship = 6
	intrigue = 8
	learning = 6
	add_trait = midas_touched
	add_trait = chaste
	add_trait = diligent
	add_trait = ambitious
	add_trait = cruel
	add_trait = depressed
	father=53309
	178.9.26 = {birth = yes}
	420.1.3 = {death = yes}
	
	}
	
	53311 = {
	name = Rogni
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 5
	stewardship = 6
	intrigue = 7
	learning = 5
	add_trait = mastermind_theologian
	add_trait = craven
	add_trait = charitable
	add_trait = just
	add_trait = kind
	father=53310
	284.9.26 = {birth = yes}
	613.4.14 = {death = yes}
	}
	
	53312 = {
	name = Borm
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 8
	intrigue = 8
	learning = 5
	add_trait = martial_cleric
	add_trait = slothful
	add_trait = cynical
	father=53311
	423.1.2 = {birth = yes}
	868.7.19 = {death = yes}
	}
	
	53313 = {
	name = Skorri
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 6
	stewardship = 6
	intrigue = 8
	learning = 8
	add_trait = mastermind_theologian
	add_trait = temperate
	add_trait = content
	add_trait = cruel
	add_trait = lustful
	add_trait = shy
	father=53312
	511.5.5 = {birth = yes}
	902.3.7 = {death = yes}
	}
	
	53314 = {
	name = Brogar
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 5
	intrigue = 6
	learning = 7
	add_trait = skilled_tactician
	add_trait = diligent
	add_trait = temperate
	father=53313
	722.10.15 = {birth = yes}
	1117.6.12 = {death = yes}
	}
	
	53315 = {
	name = Harek
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 6
	stewardship = 6
	intrigue = 4
	learning = 5
	add_trait = midas_touched
	add_trait = poet
	add_trait = brave
	add_trait = chaste
	add_trait = trusting
	add_trait = greedy
	add_trait = gregarious
	father=53314
	850.1.10 = {birth = yes}
	1255.4.13 = {death = yes}
	}
	
	53316 = {
	name = Skaldor
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 4
	diplomacy = 6
	stewardship = 5
	intrigue = 7
	learning = 6
	add_trait = thrifty_clerk
	add_trait = hunter
	add_trait = trusting
	add_trait = greedy
	add_trait = stressed
	father=53315
	1043.9.26 = {birth = yes}
	1379.4.14 = {death = yes}
	}
	
	53317 = {
	name = Skalf
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 5
	stewardship = 6
	intrigue = 6
	learning = 6
	add_trait = misguided_warrior
	add_trait = hedonist
	add_trait = trusting
	add_trait = just
	add_trait = greedy
	father=53316
	1104.2.18 = {birth = yes}
	1452.7.17 = {death = yes}
	}
	
	53318 = {
	name = Rorek
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 4
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 8
	add_trait = martial_cleric
	add_trait = diligent
	add_trait = deceitful
	add_trait = greedy
	add_trait = craven
	father=53317
	1262.9.13 = {birth = yes}
	1548.5.27 = {death = yes}
	}
	
	53319 = {
	name = Lunn
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 6
	intrigue = 8
	learning = 8
	add_trait = midas_touched
	add_trait = diligent
	add_trait = humble
	add_trait = gregarious
	add_trait = brave
	father=53318
	1326.2.26 = {birth = yes}
	1639.5.18 = {death = yes}
	}
	
	53320 = {
	name = Largs
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 7
	stewardship = 8
	intrigue = 4
	learning = 7
	add_trait = flamboyant_schemer
	add_trait = greedy
	add_trait = just
	add_trait = envious
	add_trait = deceitful
	father=53319
	1498.9.26 = {birth = yes}
	1781.4.14 = {death = yes}
	}
	
	53321 = {
	name = Morgrim
	dynasty = 75010
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 6
	diplomacy = 6
	stewardship = 4
	intrigue = 8
	learning = 6
	add_trait = thrifty_clerk
	add_trait = content
	add_trait = charitable
	add_trait = craven
	add_trait = paranoid
	add_trait = lustful
	add_trait = ugly
	father=53320
	1564.12.29 = {birth = yes}
	1878.3.15 = {death = yes}
	}

	1313 = {
		name = Garin
		dynasty = 75379
		culture = dwarf_azul
		religion = ancestor_gods
		martial = 0
		diplomacy = 4
		stewardship = 0
		intrigue = 1
		learning = 8
		add_trait = creature_dwarf
		add_trait = poet
		add_trait = martial_cleric
		add_trait = craven
		add_trait = gregarious
		add_trait = greedy
		1972.3.4 = {birth = yes}
		2053.2.2 = {death = yes}
		}
#Azgalzul Royal Clan
1366 = {
	name = Logazor
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 1
	stewardship = 8
	intrigue = 2
	learning = 9
	add_trait = creature_dwarf
	add_trait = mastermind_theologian
	add_trait = kind
	800.3.14 = {birth = yes}
	880.1.1={immortal_age=79}
	1062.1.29 = {death = yes}
	}
	
	1367 = {
	name = Gotrek
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 6
	stewardship = 8
	intrigue = 8
	learning = 7
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = content
	add_trait = gregarious
	add_trait = honest
	add_trait = drunkard
	father=1366
	907.5.15 = {birth = yes}
	1221.4.15 = {death = yes}
	}
	
	1368 = {
	name = Dimrond
	dynasty = 75004
	culture = dwarf_old
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 5
	intrigue = 7
	learning = 6
	add_trait = creature_dwarf
	add_trait = charismatic_negotiator
	add_trait = impaler
	add_trait = honest
	add_trait = paranoid
	add_trait = brave
	add_trait = slow
	father=1367
	1114.3.6 = {birth = yes}
	1685.9.12 = {death = yes}
	}
	
	1369 = {
	name = Ragni
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 6
	stewardship = 8
	intrigue = 6
	learning = 6
	add_trait = creature_dwarf
	add_trait = midas_touched
	add_trait = greedy
	add_trait = content
	add_trait = chaste
	add_trait = zealous
	add_trait = stressed
	father=1368
	1603.3.16 = {birth = yes}
	1844.8.19 = {death = yes}
	}
	
	1370 = {
	name = Kazran
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 5
	stewardship = 5
	intrigue = 5
	learning = 5
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = charitable
	add_trait = cruel
	father=1369
	1712.5.26 = {birth = yes}
	1904.8.30 = {death = yes}
	}
	
	1371 = {
	name = Oldor
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 4
	stewardship = 8
	intrigue = 5
	learning = 6
	add_trait = creature_dwarf
	add_trait = thrifty_clerk
	add_trait = craven
	add_trait = gregarious
	add_trait = wroth
	add_trait = just
	father = 1369
	1640.2.24 = {birth = yes}
	1887.12.21 = {death = {death_reason = death_battle}}
	}
	
	
	1372 = {
	name = Morek
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 1
	stewardship = 8
	intrigue = 2
	learning = 9
	add_trait = creature_dwarf
	add_trait = mastermind_theologian
	add_trait = ironbreaker
	add_trait = kind
	father=1371
	1824.8.28 = {birth = yes}
	1942.6.18 = {add_spouse = 53672} 
	2106.1.29 = {death = yes}
	}
	
	1373 = {
	name = Borm
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 5
	intrigue = 5
	learning = 6
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = honest
	add_trait = gregarious
	add_trait = cruel
	add_trait = arbitrary
	add_trait = temperate
	father=1372
	mother = 53672
	1945.3.26 = {birth = yes}
	2213.7.5 = {death = yes}
	}
	
	1374 = {
	name = Derna
	female = yes
	dynasty = 75004
	culture = dwarf_azul
	religion = ancestor_gods
	add_trait = creature_dwarf
	father=1372
	mother = 53672
	1953.5.4 = {birth = yes}
	2009.6.18 = {add_spouse = 53010}
	2324.2.26 = {death = yes}
	}
	
	1375 = {
	name = Kazador
	culture = dwarf_azul
	religion = ancestor_gods
	dynasty = 75004
	martial = 8
	diplomacy = 4
	stewardship = 6
	intrigue = 7
	learning = 8
	add_trait = creature_dwarf
	add_trait = skilled_tactician
	add_trait = quarreller
	add_trait = greedy
	add_trait = wroth
	add_trait = strong
	add_trait = stubborn
	add_trait = content
	add_trait = hunter
	father=1370
	1838.7.4 = {birth = yes}
	1942.6.18 = {add_spouse = 53123} 
	2560.8.15 = {death = yes}
	}
	1376 = { 
	name = Kazrik
	culture = dwarf_azul
	dynasty = 75004
	religion = ancestor_gods
	martial = 5
	diplomacy = 4
	stewardship = 8
	intrigue = 2
	learning = 4
	add_trait = creature_dwarf
	add_trait = misguided_warrior
	add_trait = lunatic_1
	father=1375
	mother=53123
	1989.7.4 = {
		birth = yes
		effect = {
			set_variable = { which = lunatic_counter value = 5 }
		}
	}
	2560.8.15 = {death = yes}
	}







